1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
3809,SNS Hotels Inc,,,2023-11-30 12:57:58,'2023-11-30 12:57:58'),Other,hospitality,0,0,0
3935,Paradise Niagara Motel Ltd,,,2023-12-03 16:44:53,'2023-12-03 16:44:53'),Major Bank,hospitality,0,0,0
3977,Shakespeare Inn Inc,,,2023-12-03 16:45:13,'2023-12-03 16:45:13'),Other,hospitality,0,0,0
4049,Cacoeli Linnwood Lowther LP,,,2023-12-05 17:46:01,'2023-12-05 17:46:01'),Other,hospitality,0,0,0
4068,Innocapital Cor,,,2023-12-05 17:46:07,'2023-12-05 17:46:07'),Private Lender,hospitality,0,0,0
4261,Pyl-Chem Hotel Ltd,,,2023-12-08 20:20:10,'2023-12-08 20:20:10'),Major Bank,hospitality,0,0,0
4310,Hotel San Francisco SA,,,2023-12-08 20:20:38,'2023-12-08 20:20:38'),Other,hospitality,0,0,0
4563,Best Hospitality Ltd,,,2024-03-09 13:48:36,'2024-03-09 13:48:36'),Major Bank,hospitality,0,0,0
4636,Northbury Hotels Ltd,,,2024-06-01 15:59:17,'2024-06-01 15:59:17'),Major Bank,hospitality,0,0,0
4667,Lakeside Village Park &amp; Motel Ltd,,,2024-06-01 17:35:47,'2024-06-01 17:35:47'),Major Bank,hospitality,0,0,0
4701,Niagara Hospitality Hotels Inc,,,2024-06-03 16:40:09,'2024-06-03 16:40:09'),Other,hospitality,0,0,0
5066,Bisha Hotel Toronto Inc,,,2025-03-11 01:11:20,'2025-03-11 01:11:20'),Other,hospitality,0,0,0
