1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
944,Ginkgo Mortgage Investment Cor,,,2023-10-13 11:14:58,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
1026,Sky Mortgage Cor,,,2023-10-13 11:15:32,'2023-10-30 12:43:01'),Other,residential,0,0,0
1083,Hillmount Capital Mortgage Holdings Inc,,,2023-10-13 11:15:47,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
1175,Wingfield Mortgage Cor,,,2023-10-13 11:16:47,'2023-10-30 12:43:01'),Other,residential,0,0,0
1414,Canstone Mortgage Fund LP,,,2023-10-23 20:27:00,'2023-10-30 12:43:01'),Other,residential,0,0,0
1477,Forgetstone Mortgage Fund GP Inc,,,2023-10-23 20:29:53,'2023-10-30 12:43:01'),Other,residential,0,0,0
1495,CIBC Mortgage Inc,,,2023-10-24 14:27:34,'2023-10-30 12:43:01'),Major Bank,residential,0,0,0
1542,Ontario Mortgages LLC,,,2023-10-24 14:28:21,'2023-10-30 12:43:01'),Other,residential,0,0,0
1556,19 Duncan Mortgage Inc,,,2023-10-24 14:28:22,'2023-10-30 12:43:01'),Other,residential,0,0,0
1603,Tuckernuck Mortgage Administration Inc,,,2023-10-24 14:30:26,'2023-10-30 12:43:01'),Other,residential,0,0,0
1614,DB Mortgage Investment Corp #1,,,2023-10-24 14:30:28,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
1621,Valour Mortgage Services Inc,,,2023-10-26 13:31:06,'2023-10-30 12:43:01'),Other,residential,0,0,0
1630,"CIBC Mortgages Inc, trading as FirstLine Mortgage",,,2023-10-26 13:31:06,'2023-10-30 12:43:01'),Major Bank,residential,0,0,0
1676,180 University Residential Inc,,,2023-10-26 13:31:38,'2023-10-30 12:43:01'),Other,residential,0,0,0
1722,Mingsett Mortgage Cor,,,2023-10-26 19:27:50,'2023-10-30 12:43:01'),Other,residential,0,0,0
1728,C &amp; K Mortgage Service,,,2023-10-26 19:27:50,'2023-10-30 12:43:01'),Other,residential,0,0,0
1736,C &amp; K Mortgages Services Inc,,,2023-10-26 19:27:51,'2023-10-30 12:43:01'),Other,residential,0,0,0
1767,Rentx Mortgage Cor,,,2023-10-26 19:28:13,'2023-10-30 12:43:01'),Other,residential,0,0,0
1778,Foremost Second Mortgage Holding Cor,,,2023-10-26 19:28:42,'2023-10-30 12:43:01'),Other,residential,0,0,0
1801,BFT Mortgage Investment Cor,,,2023-10-27 15:32:04,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
1827,Institutional Mortgage Capital Canada,,,2023-10-29 16:29:25,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
1853,Canadian Mortgage Loan Services Ltd,,,2023-10-29 16:56:12,'2023-10-30 12:43:01'),Major Bank,residential,0,0,0
1858,KingSett Real Estate Mortgage GP No 3 Inc,,,2023-10-29 16:56:45,'2023-10-30 12:43:01'),Other,residential,0,0,0
2045,Valour Mortgages Services Inc,,,2023-11-04 16:35:46,'2023-11-04 16:35:46'),Other,residential,0,0,0
2068,Scotia Mortgage Corporatio,,,2023-11-04 16:35:56,'2023-11-04 16:35:56'),Other,residential,0,0,0
2083,Moskowitz Capital Mortgage Fund II Inc,,,2023-11-04 16:35:59,'2023-11-04 16:35:59'),Private Lender,residential,0,0,0
2112,Firm Capital Mortgage Fund,,,2023-11-04 16:36:08,'2023-11-04 16:36:08'),Private Lender,residential,0,0,0
