1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
94,Dream Distillery Retail (GP) Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,retail,0,0,0
1884,FC One Retail Portfolio GP Inc,,,2023-11-01 16:28:56,'2023-11-01 16:28:56'),Other,retail,0,0,0
4179,Skyline Blue Mountain Retail Inc,,,2023-12-08 11:36:28,'2023-12-08 11:36:28'),Other,retail,0,0,0
4992,Skyline Retail Real Estate Holdings Inc,,,2025-01-10 03:20:19,'2025-01-10 03:20:19'),Private Lender,retail,0,0,0
4997,4Q Retail GP Inc,,,2025-01-10 03:20:20,'2025-01-10 03:20:20'),Other,retail,0,0,0
