1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
6791,The Bank of Nova Scotia Trust Co,"40 King St W, 48th Flr",Toronto,Ontario,M5H 1H1,,2023-06-02,,,2023-10-12 10:31:28,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
7051,O2G Mortgages/Falco Group,"4 Abacus Rd, Unit 3",Brampton,Ontario,L6T 5J6,905-915-9400,2022-03-18,,,2023-10-12 10:31:42,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
7638,Greenbanktree Power Corp,"23 Lesmill Rd, Ste 205",,,M3B 3P6,,2022-09-22,,,2023-10-12 10:32:16,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
7733,TD Pieterse Inc,42554 Highway 3,Wainfleet,Ontario,L0S 1V0,,2023-09-28,,,2023-10-12 10:32:20,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
8634,Riverbank Metals Inc,98311 4th Line SW,Melancthon,Ontario,L9V 2C4,,2023-08-16,,,2023-10-12 13:06:51,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
9547,Bank Bros &amp; Son Ltd,,Toronto,Ontario,M6B 4K7,416-762-7771,2019-09-20,,,2023-10-23 20:27:00,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
10040,KRC North Loan IV Inc,3333 New Hyde Park Rd,New Hyde Park,New York,USA - 11042,,2013-07-19,,,2023-10-24 14:27:33,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
10050,Canadian Bank Note Company Ltd,145 Richmond Rd,Ottawa,Ontario,K1Z 1A1,613-722-3421,2013-06-24,,,2023-10-24 14:27:33,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
10279,Canada Mortgage and Housing Corp,700 Montreal Rd,Ottawa,Ontario,K1A 0P7,613-748-2000,2015-09-08,cmhc-schl.gc.ca,,2023-12-02 13:38:15,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
10356,Wayne Safety Ltd and 17 others,1984 Yonge St,Toronto,Ontario,M4S 1Z7,416-486-2040,2016-11-30,,,2023-10-24 14:28:40,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
10624,Royal Bank of Canada [75%],"145 King Street West, 21st Floor",Toronto,Ontario,M5H 1V8,,1996-11-01,rbc.com,,2023-12-09 16:46:03,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
10663,The Mortgage Centre,273 Second Ave,Timmins,Ontario,P4N 1G3,705-268-5401,2010-09-30,co-operative.coop,,2023-12-02 13:39:05,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
10880,The Westbank Group,,Vancouver,British Columbia,V6C 1C7,604-685-8986,2018-01-16,,,2023-10-26 13:31:38,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
11126,1903130 Ontario Ltd and 9 others,8830 Jane St,Vaughan,Ontario,L4K 2M9,,2021-08-20,,,2023-10-26 19:28:11,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
11133,U-Haul Co (Canada) Ltd  1-800-468-4285,2727 N Central Ave,Phoenix,AZ,USA - 85004,,2021-08-13,2u.com,,2023-12-02 13:39:55,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
11425,Concertra Bank Banque Concentra,2055 Albert St,Regina,SK,S4P 3G8,,2019-04-24,,,2023-10-27 15:33:35,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
11487,TD &amp; Sons Inc,88 Montebello Cres,Ajax,Ontario,L1T 4M9,,2014-11-20,,,2023-10-29 16:29:05,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
11586,Bank of Montreal,"55 Bloor St W, 11th Flr",Toronto,Ontario,M4W 3N5,,2016-05-16,,,2023-10-29 16:29:49,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
11991,Pro Funds Mortgages,"3410 South Service Rd, Ste 200",Burlington,Ontario,L7N 3T2,905-842-7011,2021-03-31,,,2023-11-01 16:28:55,'2023-11-01 16:28:55'),lender,lender,0,0,0,0,0,0,0,0,1
12023,BMO Trust Company,"100 King St W, 38th Flr",Toronto,Ontario,M5X 1H3,,2021-02-25,bmo.com,,2023-12-02 13:58:27,'2023-11-01 16:28:56'),lender,lender,0,0,0,0,0,0,0,0,1
12363,The Toronto-Dominion Bank,"66 Wellington St, 30th Flr",Toronto,Ontario,M5K 1A2,,2021-10-01,td.com,,2023-12-09 16:46:27,'2023-11-01 19:36:46'),lender,lender,0,0,0,0,0,0,0,0,1
12571,Greenbush Apartments Ltd and 6 others,64 Merton St,Toronto,Ontario,M4S 1A1,416-481-7002,2020-06-30,,,2023-11-02 18:11:51,'2023-11-02 18:11:51'),lender,lender,0,0,0,0,0,0,0,0,1
