1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
2697,InnVest REIT,"200 Bay St, Ste 3205",Toronto,Ontario,M5J 2J1,416-607-7100,2016-02-01,,,2023-10-12 10:28:17,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2740,Cominar REIT,"2820 boul Laurier, Bureau 850",Quebec,QC,G1V 0C1,418-681-8151,2018-03-27,,,2023-10-12 10:28:18,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2744,Pure Industrial Real Estate Trust,"121 King St W, Ste 2100",Toronto,Ontario,M5H 3T9,416-479-8590,2017-08-18,,,2023-10-12 10:28:18,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2884,InterRent REIT,"485 Bank St, Ste 207",Ottawa,Ontario,K2P 1Z2,613-569-5699,2020-09-21,,,2023-10-12 10:28:30,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2891,Slate Office REIT,"121 King St W, Ste 200",Toronto,Ontario,M5H 3T9,416-644-4264,2020-01-22,slateam.com,,2023-12-09 16:45:24,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2909,Killam Apartment REIT,"3700 Kempt Rd, Ste 100",Halifax,Nova Scotia,B3K 4X8,902-453-9000,2018-03-29,,,2023-10-12 10:28:31,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2911,Dream Office REIT,"30 Adelaide St W, Ste 301",Toronto,Ontario,M5C 3H1,416-365-3535,2017-08-23,dundeereit.com,,2023-12-09 16:46:10,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2952,Dundee REIT,"30 Adelaide St E, Ste 300",Toronto,Ontario,M5C 3H1,416-365-3535,2013-04-30,piret.ca,,2023-12-09 16:46:03,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2954,RioCan REIT &amp; Kingsett,2300 Yonge St,Toronto,Ontario,M4P 1E4,416-866-3033,2013-04-04,,,2023-10-12 10:28:31,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2969,Dundee REIT and H&amp;R REIT,"30 Adelaide St W, Suite 1600",3625 Dufferin St,Suite 500,"North York, Ontario M3R 1N4",,2012-06-15,,,2023-10-12 10:28:32,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2981,Canmarc REIT,3400 de Maisonneuve Blvd W,Montreal,Quebec,H3Z 3B8,514-931-2591,2012-01-16,,,2023-10-12 10:28:32,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2992,InterRent REIT,"485 Bank St, Ste 207",Ottawa,Ontario,K2P 1Z2,613-569-5699,2021-10-18,pbcgroup.net,,2023-12-02 13:44:28,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
3570,Reithbrae Farms Ltd,53 Front St W,Strathroy,Ontario,N7G 1X6,,2022-12-06,,,2023-10-12 10:29:33,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
3845,Nexus Industrial REIT,"1540 Cornwall Rd, Ste 211",Oakville,Ontario,L6J 7W5,416-613-1262,2022-09-30,,,2023-10-12 10:29:40,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
4029,Nexus Industrial REIT,"1540 Cornwall Rd, Ste 211",Oakville,Ontario,L6J 7W5,416-613-1262,2022-11-01,,,2023-10-12 10:29:44,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
4495,401 Real Estate Trust Inc,2225 Eagle St N,Cambridge,Ontario,N3H 4R7,226-535-9077,2022-11-01,,,2023-10-12 10:29:54,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
4790,401 Real Estate Trust,2225 Eagle St N,Cambridge,Ontario,N3H 4R7,226-535-9077,2022-12-02,domain.com,,2023-12-02 13:31:08,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
5150,Skyline Industrial REIT,,Guelph,Ontario,N1H 2S8,519-826-0439,2022-08-18,,,2023-10-12 10:30:16,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
5196,Cominar REIT,,Quebec,Quebec,G1V 0C1,418-681-8151,2022-03-01,,,2023-10-12 10:30:17,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
5561,True North Commercial REIT,,Toronto,Ontario,M8X 2X6,416-234-8444,2023-03-10,,,2023-10-12 10:30:32,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
5635,Plaza Retail REIT,,Fredericton,NB,E3A 9N6,506-451-1826,2023-02-14,plaza.ca,,2023-12-09 16:46:11,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
6018,Reiter-Nemetz,"298 Sheppard Ave W, Ste 100",Toronto,Ontario,M2N 1N2,416-665-1458,2023-03-31,malerbetrieb-reiter.de,,2023-12-02 13:17:59,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
6044,CAPREIT Apartments Inc,"11 Church St, Ste 401",Toronto,Ontario,M5E 1W1,416-861-9404,2023-06-30,capreit.ca,,2023-12-09 16:45:20,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
6607,Primaris REIT,"26 Wellington St E, Ste 400",Toronto,Ontario,M5E 1S2,416-642-7800,2023-07-12,,,2023-10-12 10:31:21,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
6621,True North Commercial REIT,,Toronto,Ontario,M8X 2X3,416-234-8444,2023-07-10,,,2023-10-12 10:31:21,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
6660,Artis REIT,,Winnipeg,Manitoba,R3C 3Z3,204-947-1250,2022-06-24,artisreit.com,,2023-12-02 13:27:02,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
7563,H&amp;R REIT,"3625 Dufferin St, Ste 500",Toronto,Ontario,M3K 1N4,416-635-7520,2022-10-24,,,2023-10-12 10:32:13,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
7593,Centurion Apartment REIT,"25 Sheppard Ave W, Ste 1800",Toronto,Ontario,M2N 6S6,416-733-5600,2022-10-12,centurion.ca,,2023-12-02 13:13:45,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
7942,Nobel REIT GP Inc,"1540 Cornwall Rd, Ste 211",Oakville,Ontario,L6J 7W5,416-613-1262,2023-04-21,,,2023-10-12 13:06:42,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
8060,Nobel REIT GP Inc,"1540 Cornwall Rd, Ste 211",Oakville,Ontario,L6J 7W5,416-613-1262,2023-04-21,,,2023-10-12 13:06:43,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
8225,CAPREIT Apartments Inc,"11 Church St, Ste 401",Toronto,Ontario,M5E 1W1,416-861-9404,2022-08-24,,,2023-10-12 13:06:45,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
8240,True North Commercial REIT,3280 Bloor St W,Toronto,Ontario,M8X 2X3,416-234-8444,2022-08-22,,,2023-10-12 13:06:46,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
8303,CAPREIT Apartments Inc,"11 Church St, Ste 401",Toronto,Ontario,M5E 1W1,416-861-9404,2022-08-24,capreit.ca,,2023-12-09 16:45:23,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
8354,True North Commercial REIT,3280 Bloor St W,Toronto,Ontario,M8X 2X3,416-234-8444,2022-08-22,,,2023-10-12 13:06:47,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
8376,True North Commercial REIT,3280 Bloor St W,Toronto,Ontario,M8X 2X3,416-234-8444,2022-08-22,,,2023-10-12 13:06:47,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
9163,401 Real Estate Trust Inc,2225 Eagle St N,,,L3H 4R7,,2023-10-05,,,2023-10-21 20:00:56,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
9411,Pure Industrial Real Estate Trust,"121 King St W, Ste 2100",Toronto,Ontario,M5H 3T9,416-479-8590,2017-11-30,,,2023-10-21 22:14:58,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
9490,CREIT,"175 Bloor St E, Ste N-1400",Toronto,Ontario,M4W 3R8,416-628-7771,2018-04-16,creit.it,,2023-12-02 13:26:14,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
9576,Pure Industrial Real Estate Trust,121 King St W,Toronto,Ontario,M5H 3T9,416-479-8590,2019-06-27,piret.ca,,2023-12-09 16:45:48,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
9666,CREIT,"175 Bloor St E, Ste 1400",Toronto,Ontario,M4W 3R8,416-628-7771,2020-09-23,,,2023-10-23 20:27:31,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
9787,Summit REIT,"110 Cochrane Dr, Ste 120",Markham,Ontario,L3R 9S1,905-791-1181,2021-05-25,,,2023-10-23 20:28:02,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
9814,PROREIT,"2000 Mansfield St, Ste 1000",Montreal,Quebec,H3A 2Z7,514-933-9552,2021-04-23,proreit.com,,2023-12-02 13:36:20,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
10048,Granite REIT,77 King St W,Toronto,Ontario,M5K 1H1,647-925-7500,2013-06-26,granitereit.com,,2023-12-02 13:41:06,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
10077,CREIT &amp; Rice Commercial Group,175 Bloor St E,Toronto,Ontario,M4W 3R8,416-628-7771,2013-03-27,,,2023-10-24 14:27:34,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
10138,Calloway REIT (Napanee) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,905-326-6400,2014-10-31,callowayreit.com,,2023-12-02 13:38:13,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
10139,Retrocom Mid-Market REIT,"700 Applewood Cres, Ste 300",Vaughan,Ontario,L4K 5X3,416-741-7999,2014-10-31,,,2023-10-24 14:27:57,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
10276,Skyline Retail REIT,"5 Douglas St, Ste 301",Guelph,Ontario,N1H 2S8,519-826-0439,2015-09-21,,,2023-10-24 14:28:20,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
10504,"Reiter, Nemetz","298 Sheppard Ave W, Ste 100",Toronto,Ontario,M2N 1N5,416-665-1458,2017-04-06,reiternemetz.com,,2023-12-09 16:46:01,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
10553,Skyline Commercial REIT,70 Fountain St E,Guelph,Ontario,N1H 3N6,519-826-0439,2012-11-06,,,2023-10-24 14:30:26,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
