INFO:     Started server process [2262056]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
============================================================
🚀 BigDataClaw NERVE API Server
============================================================

📡 Endpoints:
   GET  /api/health                - Health check
   GET  /api/info                  - System info
   GET  /api/recruiters            - List recruiters (paginated)
   GET  /api/recruiters/stats      - Recruiter statistics
   GET  /api/brokerages            - List brokerages
   GET  /api/brokerages/stats      - Brokerage statistics
   GET  /api/dbeaver/brokerages    - DBeaver brokerages (3,884)
   GET  /api/dbeaver/stats         - DBeaver statistics
   GET  /api/lenders               - List lenders (paginated)
   GET  /api/lenders/stats         - Lender statistics

🤖 Agent Workspace Endpoints:
   GET  /api/agents/workspaces          - List agent workspaces
   GET  /api/agents/workspaces/{id}     - Get agent workspace
   GET  /api/agents/workspaces/{id}/tasks      - Get agent tasks
   POST /api/agents/workspaces/{id}/tasks      - Create task
   GET  /api/agents/workspaces/{id}/memory     - Get agent memory
   GET  /api/agents/workspaces/{id}/conversations  - Get conversations
   GET  /api/agents/commanders          - List commanders
   GET  /api/agents/commanders/{id}/dashboard  - Commander dashboard

📝 Obsidian Integration (READ ONLY):
   GET  /api/obsidian/status        - Vault connection status
   GET  /api/obsidian/files         - List files with filters
   GET  /api/obsidian/files/{path}  - Get file content (read)
   POST /api/obsidian/search        - Search vault (read)
   GET  /api/obsidian/folders       - List folders (read)

   ⚠️  WRITE OPERATIONS DISABLED
   Use separate BDAIV2 Writer project for vault modifications

🌐 Starting server on http://0.0.0.0:8000
============================================================
INFO:     127.0.0.1:53476 - "GET /api/paperclip/companies/5bae9f16-3f16-4774-9aea-b484d9de4b85/dashboard HTTP/1.1" 200 OK
INFO:     127.0.0.1:53484 - "GET /api/paperclip/companies/5bae9f16-3f16-4774-9aea-b484d9de4b85/goals HTTP/1.1" 200 OK
INFO:     127.0.0.1:53496 - "GET /api/paperclip/companies/5bae9f16-3f16-4774-9aea-b484d9de4b85/agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:53512 - "GET /api/paperclip/companies/5bae9f16-3f16-4774-9aea-b484d9de4b85/issues HTTP/1.1" 200 OK
INFO:     127.0.0.1:53514 - "GET /api/paperclip/companies/5bae9f16-3f16-4774-9aea-b484d9de4b85/dashboard HTTP/1.1" 200 OK
INFO:     127.0.0.1:43054 - "GET /api/data-manager/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:43082 - "GET /api/data-manager/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:43070 - "GET /api/paperclip/companies HTTP/1.1" 200 OK
INFO:     127.0.0.1:43096 - "GET /api/paperclip/companies HTTP/1.1" 200 OK
INFO:     127.0.0.1:43116 - "GET /api/paperclip/companies/5bae9f16-3f16-4774-9aea-b484d9de4b85/goals HTTP/1.1" 200 OK
INFO:     127.0.0.1:43100 - "GET /api/paperclip/companies/5bae9f16-3f16-4774-9aea-b484d9de4b85/agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:43124 - "GET /api/paperclip/companies/5bae9f16-3f16-4774-9aea-b484d9de4b85/issues HTTP/1.1" 200 OK
