1,187,1,2023-10-12 17:54:06,2023-10-30 12:43:52
2,194,2,2023-10-12 17:54:06,2023-10-30 12:43:52
3,196,3,2023-10-12 17:54:06,2023-10-30 12:43:52
4,196,4,2023-10-12 17:54:06,2023-10-30 12:43:52
5,551,5,2023-10-12 18:06:36,2023-10-30 12:43:52
6,551,6,2023-10-12 18:06:36,2023-10-30 12:43:52
7,551,7,2023-10-12 18:06:36,2023-10-30 12:43:52
8,552,5,2023-10-12 18:06:36,2023-10-30 12:43:52
9,552,6,2023-10-12 18:06:36,2023-10-30 12:43:52
10,552,7,2023-10-12 18:06:36,2023-10-30 12:43:52
11,553,5,2023-10-12 18:06:36,2023-10-30 12:43:52
12,553,6,2023-10-12 18:06:36,2023-10-30 12:43:52
13,553,7,2023-10-12 18:06:36,2023-10-30 12:43:52
14,554,7,2023-10-12 18:06:36,2023-10-30 12:43:52
15,554,6,2023-10-12 18:06:36,2023-10-30 12:43:52
16,555,8,2023-10-12 18:06:36,2023-10-30 12:43:52
17,555,9,2023-10-12 18:06:36,2023-10-30 12:43:52
18,555,10,2023-10-12 18:06:36,2023-10-30 12:43:52
19,556,11,2023-10-12 18:06:36,2023-10-30 12:43:52
20,557,12,2023-10-12 18:06:36,2023-10-30 12:43:52
21,557,13,2023-10-12 18:06:36,2023-10-30 12:43:52
22,557,14,2023-10-12 18:06:36,2023-10-30 12:43:52
23,559,15,2023-10-12 18:06:37,2023-10-30 12:43:52
24,559,16,2023-10-12 18:06:37,2023-10-30 12:43:52
25,560,17,2023-10-12 18:06:37,2023-10-30 12:43:52
26,561,17,2023-10-12 18:06:37,2023-10-30 12:43:52
27,562,17,2023-10-12 18:06:37,2023-10-30 12:43:52
28,563,18,2023-10-12 18:06:37,2023-10-30 12:43:52
29,563,19,2023-10-12 18:06:37,2023-10-30 12:43:52
30,564,20,2023-10-12 18:06:37,2023-10-30 12:43:52
31,564,21,2023-10-12 18:06:37,2023-10-30 12:43:52
32,565,22,2023-10-12 18:06:37,2023-10-30 12:43:52
33,567,22,2023-10-12 18:06:37,2023-10-30 12:43:52
34,570,23,2023-10-12 18:06:37,2023-10-30 12:43:52
35,570,24,2023-10-12 18:06:37,2023-10-30 12:43:52
36,570,25,2023-10-12 18:06:37,2023-10-30 12:43:52
37,570,26,2023-10-12 18:06:37,2023-10-30 12:43:52
38,571,27,2023-10-12 18:06:37,2023-10-30 12:43:52
39,574,26,2023-10-12 18:06:37,2023-10-30 12:43:52
40,574,25,2023-10-12 18:06:37,2023-10-30 12:43:52
41,574,23,2023-10-12 18:06:37,2023-10-30 12:43:52
42,574,24,2023-10-12 18:06:37,2023-10-30 12:43:52
43,575,28,2023-10-12 18:06:37,2023-10-30 12:43:52
44,575,29,2023-10-12 18:06:37,2023-10-30 12:43:52
45,575,30,2023-10-12 18:06:37,2023-10-30 12:43:52
46,575,31,2023-10-12 18:06:37,2023-10-30 12:43:52
47,575,32,2023-10-12 18:06:37,2023-10-30 12:43:52
48,586,33,2023-10-12 18:06:37,2023-10-30 12:43:52
49,589,34,2023-10-12 18:06:37,2023-10-30 12:43:52
50,589,35,2023-10-12 18:06:37,2023-10-30 12:43:52
51,589,36,2023-10-12 18:06:37,2023-10-30 12:43:52
52,589,37,2023-10-12 18:06:37,2023-10-30 12:43:52
53,589,38,2023-10-12 18:06:37,2023-10-30 12:43:52
54,596,39,2023-10-12 18:06:37,2023-10-30 12:43:52
55,596,40,2023-10-12 18:06:37,2023-10-30 12:43:52
56,596,41,2023-10-12 18:06:37,2023-10-30 12:43:52
57,598,42,2023-10-12 18:06:37,2023-10-30 12:43:52
58,598,43,2023-10-12 18:06:37,2023-10-30 12:43:52
59,600,44,2023-10-12 18:06:37,2023-10-30 12:43:52
60,600,45,2023-10-12 18:06:37,2023-10-30 12:43:52
61,602,46,2023-10-12 18:06:40,2023-10-30 12:43:52
62,602,47,2023-10-12 18:06:40,2023-10-30 12:43:52
63,603,48,2023-10-12 18:06:40,2023-10-30 12:43:52
64,604,49,2023-10-12 18:06:40,2023-10-30 12:43:52
