(1,1,1,50000000,'25.0% per annum.','04/29/2022','on demand','2023-10-13 11:00:06','2023-10-30 12:44:12'),
(2,2,2,31500000,'RBC prime plus 2.60%, but not below a floor of 5.35% per annum.','04/29/2022','05/01/2025','2023-10-13 11:00:06','2023-10-30 12:44:12'),
(3,4,3,15000000,'2.0% for the first 2 years and 0% per annum thereafter.','04/29/2022','04/29/2026','2023-10-13 11:00:06','2023-10-30 12:44:12'),
(4,6,4,19000000,'RBC prime plus 3.50%, with a minimum of 6.20% per annum.','04/29/2022','05/01/2023','2023-10-13 11:00:06','2023-10-30 12:44:12'),
(5,8,1,8000000,'Prime plus 5.0% per annum.','04/29/2022','on demand','2023-10-13 11:00:06','2023-10-30 12:44:12'),
(6,9,5,10000000,'Prime plus 6.0% per annum.','04/29/2022','on demand','2023-10-13 11:00:06','2023-10-30 12:44:12'),
(7,12,2,10454804,'3.943% per annum.','04/29/2022','09/01/2032','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(8,13,1,8062500,'Prime plus 5.0% per annum.','04/29/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(9,14,6,139400000,'CDOR rate plus 2.0% per annum. In no event will the CDOR rate be less than 0%.','04/28/2022','04/18/2025','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(10,17,7,11400000,'1.754% per annum. Due in semi-annual payments of $100,000.','04/28/2022','04/29/2026','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(11,19,8,10500000,'Prime plus 6.0% per annum.','04/29/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(12,19,9,4834850,'14.0% per annum.','04/29/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(13,20,10,12136000,'8.0% per annum.','04/28/2022','04/28/2024','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(14,21,5,10000000,'Prime plus 5.0% per annum.','04/28/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(15,23,8,12500000,'BNS prime plus 1.0% per annum.','04/26/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(16,23,11,2000000,'0% per annum.','04/26/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(17,25,12,10540002,'0% until 10/21/2022, then 5.0% per annum.','04/22/2022','04/22/2025','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(18,25,13,8668305,'0% until 10/21/2022, then 5.0% per annum.','04/22/2022','04/22/2025','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(19,26,14,24000000,'Greater of 5.10% and RBC prime plus 2.65% per annum.','04/21/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(20,26,15,5000000,'12.0% per annum.','04/21/2022','05/01/2023','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(21,27,1,11000000,'18.0% per annum.','04/21/2022','05/01/2023','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(22,28,8,18000000,'Prime plus 6.0% per annum.','04/20/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(23,28,16,5000000,'10.0% per annum.','04/20/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(24,29,17,10200000,'0% for the first 2 years, and 5.0% per annum for the remaining 3 years.','04/20/2022','04/20/2027','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(25,30,8,200000000,'Prime plus 6.0% per annum.','04/19/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(26,30,18,33000000,'0% per annum.','04/19/2022','12/01/2025','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(27,32,1,11000000,'Prime plus 5.0% per annum.','04/18/2023','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(28,33,1,50000000,'Prime plus 5.0% per annum.','04/11/2023','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(29,34,8,70000000,'Prime plus 1.0% per annum.','04/05/2023','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(30,35,7,13800000,'0% per annum. Due in annual payments of $400,000.','04/03/2023','04/03/2028','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(31,37,1,16500000,'Prime plus 10.0% per annum.','08/31/2022','09/01/2024','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(32,38,19,13005000,'Floating base rate plus 10.0% per annum.','08/30/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(33,39,20,5500000,'4.8% per annum.','08/30/2022','08/30/2027','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(34,41,5,25000000,'21.0% per annum.','08/29/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(35,43,21,4000000,'5.50% per annum.','08/26/2022','02/28/2023','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(36,44,2,33675000,'TD prime plus 1.95% per annum for the first 35 months. Thereafter, TD prime plus 3.95% per annum, subject to a floor, the greater of 5.65% and TD prime at the time of the initial advance plus 1.95% per annum.','08/18/2022','09/01/2025','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(37,45,22,18000000,'4.777% per annum.','08/17/2022','08/17/2027','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(38,48,23,25326000,'TD prime plus 2.95% subject to a minimum of 6.15% per annum.','08/16/2022','09/01/2024','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(39,49,23,33150000,'TD prime plus 3.45%, subject to a minimum of 6.15% per annum. Chargor may extend for a further 12 months, an extension fee of 0.25% of the principal amount will apply.','08/16/2022','06/01/2024','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(40,50,8,16500000,'Prime plus 6.0% per annum.','08/16/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(41,51,24,12000000,'25.0% per annum.','08/15/2022','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(42,52,25,6600000,'3.0% per annum. Due in semi-annual payments of $99,000.','08/15/2022','08/15/2025','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(43,55,26,30000000,'5.0% per annum from Closing Date until the late date of the 12th month following the Closing Date, and 15.0% per annum thereafter.','08/31/2023','10/31/2024','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(44,55,27,7000000,'12.0% per annum.','08/31/2023','08/31/2024','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(45,56,1,16800000,'18.0% per annum.','08/31/2023','09/01/2028','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(46,57,19,16350000,'Floating base rate plus 10.0% per annum.','08/31/2023','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(47,58,28,11450000,'18.0% per annum.','08/31/2023','on demand','2023-10-13 11:00:07','2023-10-30 12:44:12'),
(48,60,29,16000000,'24.0% per annum.','08/30/2023','on demand','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(49,61,30,1500000,'First 2 years, 3.5% per annum, with monthly payments of $4,374.99. 4.5% per annum for the final 2 years, with monthly payments of $5,625. RBC prime plus 5.0% per annum if in default.','08/30/2023','08/31/2027','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(50,61,1,7360240,'18.0% per annum.','10/16/2020','11/01/2023','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(51,62,1,75000000,'Prime plus 5.0% per annum.','08/29/2023','on demand','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(52,63,19,19500000,'Floating base rate plus 10.0% per annum.','08/29/2023','on demand','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(53,64,31,3000000,'9.0% per annum.','08/29/2023','11/29/2024','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(54,64,32,2000000,'','08/29/2023','02/28/2024','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(55,65,8,8750000,'25.0% per annum.','08/25/2023','on demand','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(56,65,33,5000000,'RBC prime plus 7.0% per annum.','08/25/2023','09/25/2026','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(57,66,34,8500000,'4.0% per annum. Chargor has option to extend for 1 further year at 6.0% per annum.','08/24/2023','08/24/2025','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(58,67,35,13041557,'0% per annum for the first year. 2.0% per annum for the second year. 3.0% per annum for the third year.','08/24/2023','08/23/2026','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(59,68,36,15000000,'25.0% per annum.','08/22/2023','on demand','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(60,69,37,48923984,'0% until 8/8/2024, then 6.0% per annum.','08/08/2023','08/08/2025','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(61,70,7,13950000,'0% per annum.','08/03/2023','08/03/2027','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(62,73,22,200000000,'Prime plus 5.0% per annum.','08/01/2023','on demand','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(63,76,8,50000000,'Prime plus 6.0% per annum.','08/01/2023','on demand','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(64,78,14,15600000,'Greater of 7.95% and RBC prime plus 2.0% per annum.','12/29/2022','on demand','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(65,78,38,4500000,'5.0% per annum.','12/29/2022','12/28/2025','2023-10-13 11:00:08','2023-10-30 12:44:12'),
(66,80,39,600000000,'','12/22/2022','on demand','2023-10-13 11:00:08','2023-10-30 12:44:12'),
